情感分析结果,评价倾向,商品评论
0.9999561936623493,喜欢,外形外观：6.67英寸，外形美观大方。
0.9767193546688104,喜欢,屏幕音效：声音音色不错。
0.9013760450764157,喜欢,拍照效果：像素大，拍照清晰。
0.9929272034981343,喜欢,运行速度：很流畅。
0.7445986323770442,喜欢,待机时间：还可以，主要是充电速度杠杠的。
0.5,一般,""""""
0.9792299811928336,喜欢,买给母亲的，她表示很棒。
0.9954324595047199,喜欢,外形外观：非常丝滑，很是精美，6.67寸的尺寸放手里简直不要太匹配。
0.8352760873396448,喜欢,屏幕音效：声音洪亮，清脆
0.9456924828943446,喜欢,拍照效果：适合美女拍照，拍摄风景。
0.9988672192804312,喜欢,运行速度：流畅，速度很快
0.7886545954278544,喜欢,待机时间：还没有验证
0.7700455686478027,喜欢,其他特色：充电速度杠杠的
0.9999456557048804,喜欢,外形外观：曲面屏，双环摄像模组，渐变色后盖，外形美观
0.9596849709924271,喜欢,屏幕音效：非常不错
0.9853308169004409,喜欢,拍照效果：清晰，迅速，效果不错
0.9939914977505435,喜欢,运行速度：不玩游戏，非常流畅
0.5,一般,""""""
0.35366135198177795,不喜欢,给老妈换个手机，她非常满意
0.9999927766774036,喜欢,黑色适合老人用。背面会容易留指纹，但是戴上手机壳就没有问题。系统很稳定，运行速度非常快，尤其是拍照功能，清晰，速度快。整体机身轻薄。512的容量也大，适合老人经常拍拍拍
0.9999999994847968,喜欢,买给家里老人用的，手机质量很好，设计也很合理，用起来很舒服，按键是分开的，很好按，而且不容易按错位，通话声音很，不用贴着耳朵都可以听的很清晰，而且信号的很强，通话很稳定，待机时间很长，手感舒适，老品牌手机就是值得信赖，店家服务也比较周到，送的配件很齐全，必须好评
0.9999994227609853,喜欢,买给家里老人的，拿着手感很轻便，大屏幕，8+256内存，手机背面颜色很漂亮，试了拍照功能，觉得给老人家的话是非常非常够用的，也不需要太强大的游戏功能，日常使用足够了。
0.9997388689351656,喜欢,外形外观：很简约大气
0.9487767728303289,喜欢,屏幕音效：挺好的
0.833347747497289,喜欢,拍照效果：拍照很清楚
0.18877792553228667,不喜欢,运行速度：有的程序会有点卡
0.9775257540103899,喜欢,待机时间：待机时间很长，充电速度很快 
0.6679425166711846,喜欢,快递也很快，
0.9999998242637496,喜欢,包装完好无损，发货快，质量好，运行内存条不卡，打打吃鸡游戏完全是顺畅的，很适合女生，价格也美丽，我个人觉得荣耀比华为的机型要秀气点，喜欢，值得推荐值得购买！
0.9998612655451738,喜欢,荣耀80是一款支持5G网络的智能机，6.67英寸OLED 双曲面屏幕，外观漂亮，支持40w有线快充，非常适合日常使用。推荐
0.999960686443423,喜欢,外形外观：美观大方上档次，同介绍的一择
0.9824011175435767,喜欢,屏幕音效：音效很好
0.9863744414040142,喜欢,拍照效果：清晰                                               不错的体验
0.9994317059337715,喜欢,手机颜值很高，使用起来也很不错，很满意的一次购物，商家服务好，发货神速，物流也很给力，宝贝收到后非常喜欢，买得放心，用得安心
0.9999472674582283,喜欢,拍照清晰运行畅快续航很好！出身于华为，还是有渊源和信任的。系统流畅好用不需要熟悉上手快。虽然最喜欢后盖指纹，但是现在基本没有了，屏下指纹也比侧身指纹好用。NFC钥匙功能方便懒人，出门可以少带一点重手的东西。
0.9968483500235328,喜欢,十多年了一直用华为或者荣耀手机，用着跟顺手，荣耀要比华为更经济实惠一些！对于不打游戏的我们家还说，用荣耀更为适合！以后会一直坚持！
0.9999463581681539,喜欢,外形外观：太漂亮了  我喜欢的蓝色波纹的  买了个透明的壳子  很有质感
0.8872751623376707,喜欢,拍照效果：非常清晰  
0.9728379468210535,喜欢,运行速度：很快
0.6985766722264282,喜欢,待机时间：长
0.13366039230611004,不喜欢,其他特色：充电非常快  极速  10分钟 百分之百
0.9997759497592966,喜欢,外形外观：非常经验，造型美观，颜色非常漂亮。
0.5,一般,""""""
0.8796784394156664,喜欢,屏幕音效：非常好。
0.5,一般,""""""
0.5705260364550165,一般,拍照效果：非常好，两个大镜头非常拉风。
0.5,一般,""""""
0.9810630743659632,喜欢,运行速度：非常快，操作系统用起来很舒服，内存大，不用在发愁照片没处放。
0.9965186680386666,喜欢,外形外观：很好看
0.38924472950218003,不喜欢,屏幕音效：单扬声器差点意思
0.8258557556646623,喜欢,拍照效果：非常好看
0.9964425159707634,喜欢,运行速度：处理器不算最快那档，但是日常使用够
0.9840362115999554,喜欢,待机时间：电池足够大，充电速度特别快
0.9991520854517952,喜欢,产品用起来很舒适，充电快，颜色很新颖，目前使用起来很顺畅，物流很快，头一天下单，第二天早上就到了，经过几次对比，各种性能还可以，推荐购买
0.7934263235371739,喜欢,这部手机没有第一次买的好&hellip;
0.9999940393614607,喜欢,真心不错的选择，之前也对比了好几款，最后在活动时买了还附赠了手环，只买对的，荣耀这么多年一直很给力，尤其是拍照功能越来越强劲了，像素还原色彩很真实，很细腻。如果说不足的话，前置摄像头没有美颜，太过真实。
0.9987382719257109,喜欢,手机一直都是买荣耀的，首选京东，基本上三四年换新一次，这款手机使用起来很流畅，屏幕保护膜有点起泡。
0.8719130929030254,喜欢,拍照效果：很好，
0.9962642358150345,喜欢,外形外观：漂亮，不是太粉
0.9260432291519205,喜欢,运行速度：快
0.5152927802551235,一般,待机时间：一天
0.9999998012993492,喜欢,原先的手机摔坏了，挑了这款，原先用的也是荣耀手机，用习惯了，后盖颜色很好看，像素大，拍照也清晰，运行流畅，充电速度很快哦，手机尺寸大小刚刚好，还送了手环，不错。
0.9999728864568913,喜欢,试用了一下手机，非常棒。机身轻薄握感很好。屏幕显色也很棒，相机非常赞，比我的老苹果好不是一点两点，要说缺陷可能就是扬声器太次了。有待改进。
0.9999899228805261,喜欢,荣耀80， 1.6亿像素超清主摄 、AI Vlog视频大师、 全新Magic OS 7.0系统 5G手机 8GB+256GB，颜色是 墨玉青非常适合老爸使用，充电超快、拍照也是超级清晰。京东物流包装严实，京东快递员送到家门口。
0.9999683382450616,喜欢,本来小买华为，结果华为3000以下没有5G手机，别人推荐卖荣耀手机，第一次买这个品牌，上手份量足，颜值也够担当，最关键是充满一次电两天还有百分之三十多。太盖了。值得拥有爱了爱了
0.9997411425489525,喜欢,荣耀80手机很不错，轻薄灵动，上手心动，手机采用
0.5,一般,""""""
0.9989692253497399,喜欢,双曲面设计，超薄超轻，一上手，就倾心。采用交融
0.5,一般,""""""
0.9999086305808516,喜欢,双镜设计，两个圆形巧妙融合，带来无限美好。
0.5,一般,""""""
0.7888987154235337,喜欢,手机屏幕规格，10亿色彩，光彩照人，屏幕最高支持
0.5,一般,120Hz
0.009870276006715861,不喜欢,刷新率，不同应用界面及游戏画面下刷新率可能略有
0.5,一般,""""""
0.8271330290629174,喜欢,不同，支持1920Hz，高频PWM调光，低亮调光，暗中
0.5,一般,""""""
0.7150937450669341,喜欢,护眼。
0.5,一般,""""""
0.9999606372825462,喜欢,借助全新升级的荣耀RAW域算法体系，HONOR Image Engine计算影像平台带来超凡影像画质。
0.9994892290656674,喜欢,外形外观：很好看，老公好喜欢
0.6934511987178654,喜欢,屏幕音效：清楚，音质标
0.9740791805022428,喜欢,运行速度：很清晰
0.5152927802551235,一般,待机时间：可以管一天
0.9575525227334509,喜欢,其他特色：颜色美观，耐看。发货好快。包装严实
0.26315372654385105,不喜欢,早上一上班同事说她昨晚手机坏了，用不了。今天要请假去手机店买手机。我跟她说这年头谁还去实体店买。上京东买手机。不用请假。刚好前段时间给小姨子买了荣耀70。今天给同事买的荣耀80。颜值，性能啊。做工超级好。
0.9999998654155794,喜欢,这次选择了荣耀80手机，京东物流很快，昨天晚上下单，今天中午就送到了，这款手机外观大方典雅，充电快，拍照效果很好，总之很满意。
0.9999999522249424,喜欢,外形外观：外观好看，颜色超级漂亮，卖给妈妈的母亲节礼物，运行速度快，内存也够她用了相机拍摄出来挺好看得
0.9999931559653618,喜欢,买的工作手机，用起来听顺畅的。这么多年来，一直买荣耀手机，使用感一直很好。另外，这手机像素是真的很高，拍照很清晰。外观也挺好看的。
0.9999907103277409,喜欢,手机早上下单下午就收到，物流超快。手机上手后外观很惊艳，太太很喜欢。运行速度也很快，不错的一次购物体验。
0.9996173921867884,喜欢,这个手机非常不错，质感非常好，京东快递也特别快。然后他的系统我用着也非常合适。感觉亦是非常好的购物体验。
0.9999970330983168,喜欢,物流超快，外观漂亮，屏幕清晰，触屏灵敏，不玩游戏，奔着像素高来的，拍照很棒，期待后续的体验&hellip;
0.9993830652630145,喜欢,作用plus会员，评价一定要良心负责任！原来的p30手机突然无法开机突然坏了，做遍攻略，都为推荐荣耀80，买来一看确实惊艳，运行流畅，尤其是拍照效果太赞了，哈哈哈哈，很满意！
0.999999456769614,喜欢,手感很好，想买很久了，刚好京东有活动就买了，用起来很顺手，流畅，有点丝滑，机子也不是很重，续航很久，拍照也不错，非常不错好用
0.9991568038451084,喜欢,用了一段时间再来评价的，颜值很高，配色也稳重大气，镜头样式很萌。系统流畅，操作比较方便，好评！重量整体合适，比较称手，好评！
0.9962206810779493,喜欢,老人手机坏了，精挑细选挑选了这一款。一直用荣耀的手机，换新机后，原机的信息和资料方便转换，外观很漂亮，用起来也习惯。
0.4878233982858631,一般,好用，就是送的免费耳机抢不到
0.013711846144288442,不喜欢,很好用的手机，信号好上网快，会推荐亲戚朋友购买的，自从用了这个手机，乘地铁和进电梯的时候再也不会信号不好了，后悔没有早一点买这个手机
0.9999534047647248,喜欢,外形外观：比较美观大方呢&hellip;&hellip;爸爸的旧手机坏了，选择在京东重新换一个，因为物流比较快，下单后到第二天就送货到家了！非常的方便实用！送货后包装也是严实的，还没试用，试用一下再说吧&hellip;&hellip;
0.9673598044290619,喜欢,买了个新款80，两只大眼睛比60更大更亮了，手感很好，顺滑不卡，尺寸也可以，其他问题用一段时间再追评
0.9999997519315882,喜欢,速度很快，质量不错，荣耀80人性化设计，特别给喜欢拍照又没有摄影技术的同学们提供了很好的设备，我是特意买这款手机的，炫酷吧
0.9991356398620149,喜欢,第一次购买国产手机，价格相比苹果手机便宜好多，充电?速度绝对的让你想不到的快，基本不到一个小时就充满电了，内存空间也很大，手机像素太拉风！真心不错，值得推荐给大家！
0.9006046962328058,喜欢,从荣耀8到荣耀80，对荣耀的外观从来没有失望过，像素这么高，对于颜控党来说是一部好手机，京东物流当地发货次日到，准备618再买一个
0.9999999557593611,喜欢,手机的质量很好，拍照功能的确很强大，心仪已久，果断下手，用过之后感觉很不错，快递也很给力，果然名副其实，买的很合我心意，棒棒哒！本来打算购买128g的，但考虑到未来数据的发展，买256g的也很合适。挺好的，用了十几年的苹果转换到荣耀，没有一点不适应，真的不错。
0.9999930210075222,喜欢,给家里老人买的，手机很轻巧，颜值很高，最主要的是信任荣耀的品牌。不论质量还是售后，华为与荣耀都非常好。京东物流很快，晚上下单次日上午到，很赞。
0.999670890283558,喜欢,用的上一个荣耀的手机还是，大学时候的荣耀六，陪我度过了大学，和工作的第一年，被用的电池都鼓包了，还能用，后来就用华为的了，这次换手机，又用了荣耀的，第一感觉很不错，看后面使用情况吧
0.9983246228220991,喜欢,2018年买的荣耀10一直用到现在，内存太小刚刚换了荣耀80，还是这么好使，网速快不卡顿，外观也很时尚，价格也不贵，性价比很高。
0.9999914225312727,喜欢,给老婆买的，开始出现了点小插曲，不过京东售后真是没得说，问题很快就解决了。主要她喜欢这款机型和外观，用着比较轻巧，非常好
0.9977691007587525,喜欢,选了好久，主要看重的是像素，拍照效果是真不错，值得这个价格，用了一段时间才来评价的，质量没的说，荣耀的性价比是相对不错的，也非常信任
0.9997422464383307,喜欢,母亲节给妈妈买的记录母亲节给妈妈买的，妈妈说很好用，妈妈说用了也很好。
0.996758060850823,喜欢,这款手机很好，用起来很流畅。
0.9998840421524762,喜欢,荣耀手机质量没得说，不但外观纤薄时尚，运行速度快，而且当天下单下午就送达！拍照效果杠杠滴！爱拍照的闭眼入
0.9999903328520515,喜欢,手机不错，刷视频玩游戏流畅，使用方便。以前用小米，突然用荣耀功能不习惯，个别功能研究中
0.9998154507234945,喜欢,外形外观：好看大方
0.9789208993637779,喜欢,拍照效果：不错很喜欢
